Item#	Noun	KnownProportion	Auditory_mean	Gustatory_mean	Haptic_mean	Olfactory_mean	Visual_mean	Auditory_sd	Gustatory_sd	Haptic_sd	Olfactory_sd	Visual_sd	DominantModality	Exclusivity	
104	instance	1	1	0	1	1	2	1	1	1	1	2	Visual	0	
105	interior	1	1	0	3	1	5	1	1	1	1	1	Visual	0	
106	junior	1	2	0	1	1	3	2	0	1	1	1	Visual	0	
107	kind	1	3	0	2	0	3	2	1	2	1	2	Visual	0	
108	left	1	1	0	2	0	3	2	1	1	1	1	Visual	0	
109	life	1	4	3	3	3	4	1	2	2	2	1	Visual	0	
110	load	1	1	0	2	1	3	1	1	1	1	1	Visual	0	
111	look	1	1	0	1	0	5	1	0	1	1	1	Visual	1	
112	loop	1	1	0	3	0	4	1	1	2	1	1	Visual	0	
113	machine	1	4	0	3	2	4	1	1	1	1	1	Visual	0	
114	management	1	3	0	0	0	4	2	0	1	1	1	Visual	0	
115	march	1	2	0	1	1	3	2	1	1	1	2	Visual	0	
116	master	1	3	0	1	0	3	2	1	1	1	2	Visual	0	
117	mate	1	3	0	3	2	4	2	1	2	1	1	Visual	0	
118	matter	1	2	1	2	1	3	1	1	2	1	2	Visual	0	
119	method	1	2	0	1	0	3	1	0	1	1	1	Visual	0	
120	minute	1	2	0	0	0	3	2	0	1	1	2	Visual	1	
121	miss	1	2	0	2	1	3	2	1	2	1	2	Visual	0	
122	missile	1	4	0	1	1	4	2	0	1	1	1	Visual	0	
123	money	1	1	0	4	1	5	1	1	1	1	0	Visual	0	
124	mouth	1	2	3	3	1	4	2	2	1	1	1	Visual	0	
125	muscle	1	1	0	4	0	4	1	1	1	1	1	Haptic	0	
126	night	1	2	0	0	0	5	2	0	1	1	1	Visual	1	
127	orderly	1	1	0	1	0	3	1	0	1	0	2	Visual	1	
128	past	1	2	1	1	1	2	1	1	1	1	2	Auditory	0	
129	permission	1	3	0	1	0	2	2	1	1	1	2	Auditory	0	
130	personnel	1	2	0	1	0	3	2	0	1	1	2	Visual	0	
131	phone	1	4	0	3	0	4	1	0	2	0	1	Auditory	0	
132	picture	1	0	0	2	0	5	1	0	1	1	0	Visual	1	
133	plug	1	1	0	3	0	4	1	0	1	1	1	Visual	0	
134	portion	1	1	2	2	1	4	1	1	1	2	1	Visual	0	
135	pound	1	1	0	4	0	4	2	1	1	1	1	Visual	0	
